Player,Tm,Pos,Salary,WS,VORP,PER,BPM,DWS,OWS,ValueIndex,DollarPerWS,PPG,RPG,APG,Off Archetype,Def Archetype
devin kavanagh,Renegades,PG,3700000,8.5,2.6,15.9,1.8,3.0,5.5,2.9999999999999996,435294.1176470588,14.7,2.7,5.5,Primary Ballhandler,Point Of Attack
damon lawson,Barons,SF/SG,1750000,3.6,1.2,16.8,1.4,2.1,1.5,2.742857142857143,486111.1111111111,13.4,3.4,2.7,Secondary Creator,Wing Stopper
leandro santoro,Drones,PF/C,1750000,3.4,0.9,13.4,-0.1,1.8,1.6,2.457142857142857,514705.8823529412,9.3,9.1,2.8,Roll-and-Cut Big,Anchor Big
ruben smith,Dragons,PF,2450000,4.0,1.9,16.7,0.9,1.2,2.8,2.4081632653061225,612500.0,16.7,5.7,1.9,Versatile Big,Helper
tanner mitchell,Jailbirds,PF,2250000,4.6,0.6,15.4,-0.8,2.5,2.1,2.311111111111111,489130.43478260876,12.1,8.3,2.3,Versatile Big,Anchor Big
umberto gigli,Predators,C,1950000,4.0,0.4,15.2,-0.9,3.0,1.0,2.256410256410257,487500.0,8.4,6.8,0.4,Post Scorer,Anchor Big
hiroaki kawase,Hurricanes,SG,1750000,2.8,1.0,11.3,1.1,1.5,1.3,2.1714285714285713,625000.0,4.0,1.1,1.9,Secondary Creator,Wing Stopper
gordo dubar,Dragons,C,3250000,5.5,1.4,14.9,0.3,1.8,3.7,2.123076923076923,590909.0909090909,10.6,9.5,1.6,Roll-and-Cut Big,Anchor Big
caleb donovan,Thunder,C/PF,5050000,7.0,3.7,16.3,3.9,3.0,4.0,2.118811881188119,721428.5714285715,12.9,9.0,3.0,Stretch Big,Mobile Big
xavier yates,Lumberjacks,SG,2650000,3.5,1.9,16.5,1.7,2.7,0.7,2.0377358490566038,757142.8571428572,14.3,4.1,3.5,Secondary Creator,Wing Stopper
zeng zhipeng,Knights,C,3050000,4.5,1.6,13.5,1.1,2.4,2.2,2.0,677777.7777777778,8.4,7.6,1.5,Pick-and-Pop Big,Anchor Big
basil sanchious,Drones,PG,2750000,5.6,-0.2,15.7,-2.3,1.0,4.5,1.9636363636363634,491071.4285714286,9.4,2.3,8.5,Primary Ballhandler,Point Of Attack
evan mcgowan,Renegades,C/PF,4900000,6.7,2.9,13.2,2.9,3.6,3.1,1.9591836734693875,731343.2835820896,7.7,8.5,2.8,Post Scorer,Anchor Big
petar jovanovic,Stonecutters,C,3050000,4.6,1.0,18.2,-0.4,2.8,1.8,1.8360655737704918,663043.4782608696,19.5,10.9,2.3,Pick-and-Pop Big,Anchor Big
tymon culver,Skyhawks,PG,3150000,5.6,0.1,15.0,-1.8,1.7,3.9,1.8095238095238093,562500.0,8.4,2.1,7.8,Primary Ballhandler,Point Of Attack
jade ahelegbe,Lightning,PG,4400000,6.5,1.3,17.3,0.1,1.5,5.0,1.7727272727272725,676923.0769230769,15.4,1.5,7.5,Primary Ballhandler,Point Of Attack
devin emery,Pilots,PG/SG,5000000,6.7,2.1,17.6,1.8,1.9,4.7,1.7600000000000002,746268.6567164179,12.9,2.2,6.7,Primary Ballhandler,Point Of Attack
winslo barry,Mustangs,PF,6000000,6.5,3.9,16.7,3.9,3.2,3.2,1.7333333333333334,923076.9230769231,16.4,7.2,1.5,Stretch Big,Mobile Big
vasja delimont,Calaveras,SF,2550000,3.1,1.3,12.7,0.5,0.2,2.9,1.7254901960784317,822580.6451612903,7.3,4.2,3.1,Glue Guy,Wing Stopper
lyles heimuli,Predators,SG,3250000,3.9,1.7,11.6,1.6,2.5,1.3,1.723076923076923,833333.3333333334,8.3,2.0,2.7,Secondary Creator,Wing Stopper
semisi rautins,Thunder,PF,5350000,5.9,3.3,14.8,2.7,3.3,2.6,1.719626168224299,906779.6610169491,13.1,8.2,4.0,Versatile Big,Mobile Big
waylan loftin,Crusaders,C,4450000,6.2,1.4,14.2,0.1,3.6,2.6,1.7078651685393258,717741.9354838709,11.9,11.8,1.5,Pick-and-Pop Big,Anchor Big
malik jefferson,Huskies,SF/SG,4000000,4.6,2.2,14.3,2.6,1.9,2.7,1.7,869565.2173913044,9.4,2.8,3.2,Secondary Creator,Wing Stopper
jordan kolaxis,Tritons,SF/PF,6000000,6.6,3.4,16.9,3.1,3.9,2.7,1.6666666666666667,909090.9090909092,15.8,8.0,3.0,Glue Guy,Helper
mustafaa pearl,Kings,SG,1750000,1.8,1.0,15.1,3.2,1.2,0.6,1.5999999999999999,972222.2222222222,7.3,3.2,2.5,Secondary Creator,Wing Stopper
